,Unnamed: 0,Method,$\epsilon$,MMD
397,97,ABC-RS (ours),10%,0.3041519180417595
398,98,ABC-RS (ours),10%,0.8410686031332661
399,99,ABC-RS (ours),10%,0.3045344203697137
400,0,ABC,20%,1.0149171709375593
401,1,ABC,20%,1.0416209927995843
402,2,ABC,20%,1.0542708282668936
403,3,ABC,20%,0.9357774686704284
404,4,ABC,20%,1.0323065692565132
405,5,ABC,20%,1.039990656353287
406,6,ABC,20%,1.044650598814773
407,7,ABC,20%,1.0609119759198489
408,8,ABC,20%,1.029290278437367
409,9,ABC,20%,0.6343095770783017
410,10,ABC,20%,0.6845441830736244
411,11,ABC,20%,1.0480176245913624
412,12,ABC,20%,0.4075490026406441
413,13,ABC,20%,1.0427870133253043
414,14,ABC,20%,1.0307949604900233
415,15,ABC,20%,1.0405920723969246
416,16,ABC,20%,1.0440507303587814
417,17,ABC,20%,1.0430817993165005
418,18,ABC,20%,0.7960325597997963
419,19,ABC,20%,1.0509201450102474
420,20,ABC,20%,1.0451709441383503
421,21,ABC,20%,1.0404558644988384
422,22,ABC,20%,1.0327220605265932
423,23,ABC,20%,1.030655762694019
424,24,ABC,20%,0.6648652224733453
425,25,ABC,20%,1.0875173633141737
426,26,ABC,20%,1.0353227914076115
427,27,ABC,20%,0.7513552272306379
428,28,ABC,20%,0.9891716821251744
429,29,ABC,20%,1.0574921210831605
430,30,ABC,20%,1.0417536202111992
431,31,ABC,20%,1.027373074741821
432,32,ABC,20%,1.029218836115719
433,33,ABC,20%,1.0435130514266164
434,34,ABC,20%,0.8785509529194531
435,35,ABC,20%,1.043572420161664
436,36,ABC,20%,1.0436109318410525
437,37,ABC,20%,1.0426941199460735
438,38,ABC,20%,1.036861446278801
439,39,ABC,20%,1.0357154106673268
440,40,ABC,20%,1.0249783956034029
441,41,ABC,20%,1.0204685766291195
442,42,ABC,20%,1.0509697607622268
443,43,ABC,20%,1.0224374018853886
444,44,ABC,20%,1.0164092042648911
445,45,ABC,20%,1.0504184573296889
446,46,ABC,20%,1.037669289549847
447,47,ABC,20%,1.0497815833884705
448,48,ABC,20%,1.0794782578249609
449,49,ABC,20%,1.0391126883451052
450,50,ABC,20%,1.0484945015447544
451,51,ABC,20%,0.4168900232027421
452,52,ABC,20%,1.051029223923589
453,53,ABC,20%,1.0645723754896683
454,54,ABC,20%,0.951847317204786
455,55,ABC,20%,1.0946037237926256
456,56,ABC,20%,1.050937556093509
457,57,ABC,20%,0.9871788049973592
458,58,ABC,20%,1.0501326909385529
459,59,ABC,20%,1.041288569951159
460,60,ABC,20%,0.5413869707201464
461,61,ABC,20%,1.0358514380773312
462,62,ABC,20%,1.058586371835821
463,63,ABC,20%,1.026051779440199
464,64,ABC,20%,0.7277477217186457
465,65,ABC,20%,1.085546009905256
466,66,ABC,20%,1.037425881169948
467,67,ABC,20%,1.0671361590137731
468,68,ABC,20%,0.5026079098526477
469,69,ABC,20%,1.0319045339251862
470,70,ABC,20%,0.5765901975043856
471,71,ABC,20%,1.084867655810864
472,72,ABC,20%,1.026524915593643
473,73,ABC,20%,1.0355006069020602
474,74,ABC,20%,0.6139107430460409
475,75,ABC,20%,1.0292808383242866
476,76,ABC,20%,1.029912901510699
477,77,ABC,20%,0.5424653527981889
478,78,ABC,20%,0.8861745703163615
479,79,ABC,20%,0.6155023343866641
480,80,ABC,20%,1.0310169386119468
481,81,ABC,20%,0.5572000655151215
482,82,ABC,20%,1.0504571955361806
483,83,ABC,20%,0.7087117554643585
484,84,ABC,20%,0.9611013933057636
485,85,ABC,20%,1.0443984923391798
486,86,ABC,20%,1.047307990622922
487,87,ABC,20%,0.6912497047746713
488,88,ABC,20%,1.0175970441132305
489,89,ABC,20%,1.0322141123106496
490,90,ABC,20%,1.0084183090812648
491,91,ABC,20%,1.0684435306564837
492,92,ABC,20%,0.6550434709512533
493,93,ABC,20%,1.0464011311609565
494,94,ABC,20%,0.5715294496158334
495,95,ABC,20%,0.412396101570699
496,96,ABC,20%,1.008558354698188
497,97,ABC,20%,1.0320917023025509
498,98,ABC,20%,0.658592455206408
499,99,ABC,20%,0.2829063687350853
500,0,ABC-RS (ours),20%,0.8063638154132563
501,1,ABC-RS (ours),20%,0.0977555974605097
502,2,ABC-RS (ours),20%,0.0996011672601443
503,3,ABC-RS (ours),20%,0.8102138919836206
504,4,ABC-RS (ours),20%,0.0793715753797323
505,5,ABC-RS (ours),20%,0.5478351075332374
506,6,ABC-RS (ours),20%,0.1502202835464569
507,7,ABC-RS (ours),20%,0.2146653033179287
508,8,ABC-RS (ours),20%,0.1943707283645228
509,9,ABC-RS (ours),20%,0.1330382694370959
510,10,ABC-RS (ours),20%,0.9885471897312378
511,11,ABC-RS (ours),20%,0.2384779862203303
512,12,ABC-RS (ours),20%,0.0989675516456959
513,13,ABC-RS (ours),20%,0.6849679884786936
514,14,ABC-RS (ours),20%,0.8813420117856371
515,15,ABC-RS (ours),20%,0.1741950690398021
516,16,ABC-RS (ours),20%,0.0676717858883971
517,17,ABC-RS (ours),20%,0.3563792944034779
518,18,ABC-RS (ours),20%,1.018140982891621
519,19,ABC-RS (ours),20%,0.2139859922687591
520,20,ABC-RS (ours),20%,0.5937161141967462
521,21,ABC-RS (ours),20%,1.0629410501378782
522,22,ABC-RS (ours),20%,0.1748097448473212
523,23,ABC-RS (ours),20%,0.8961510661171108
524,24,ABC-RS (ours),20%,0.5576427648582198
525,25,ABC-RS (ours),20%,0.0945290156177812
526,26,ABC-RS (ours),20%,0.3168853120560723
527,27,ABC-RS (ours),20%,0.361468399511596
528,28,ABC-RS (ours),20%,0.988704053467997
529,29,ABC-RS (ours),20%,0.6615159269781606
530,30,ABC-RS (ours),20%,0.4524423382704426
531,31,ABC-RS (ours),20%,0.5972830203340769
532,32,ABC-RS (ours),20%,0.3615169412942404
533,33,ABC-RS (ours),20%,0.2313753914181235
534,34,ABC-RS (ours),20%,0.0847734907484197
535,35,ABC-RS (ours),20%,0.0982679515163522
536,36,ABC-RS (ours),20%,0.1161193663723069
537,37,ABC-RS (ours),20%,0.2520068335480167
538,38,ABC-RS (ours),20%,1.3058855914439378
539,39,ABC-RS (ours),20%,1.262916867756741
540,40,ABC-RS (ours),20%,0.2268032725637209
541,41,ABC-RS (ours),20%,0.2406577209275151
542,42,ABC-RS (ours),20%,0.0676963008598847
543,43,ABC-RS (ours),20%,0.3228004924275114
544,44,ABC-RS (ours),20%,0.6984390923388241
545,45,ABC-RS (ours),20%,0.4422976638950607
546,46,ABC-RS (ours),20%,1.417639391209864
547,47,ABC-RS (ours),20%,0.3941398695280901
548,48,ABC-RS (ours),20%,0.509565120097337
549,49,ABC-RS (ours),20%,0.7947615275033446
550,50,ABC-RS (ours),20%,0.5290887642429573
551,51,ABC-RS (ours),20%,0.0989911045018749
552,52,ABC-RS (ours),20%,0.7072894289480218
553,53,ABC-RS (ours),20%,1.2159256180615812
554,54,ABC-RS (ours),20%,0.4637502728355611
555,55,ABC-RS (ours),20%,1.21107319279686
556,56,ABC-RS (ours),20%,0.0798020035984876
557,57,ABC-RS (ours),20%,0.4161060900357249
558,58,ABC-RS (ours),20%,0.0711832483270193
559,59,ABC-RS (ours),20%,0.2064706069705867
560,60,ABC-RS (ours),20%,0.1453067241982899
561,61,ABC-RS (ours),20%,0.8338676579865396
562,62,ABC-RS (ours),20%,0.998040888618574
563,63,ABC-RS (ours),20%,1.0186706984815643
564,64,ABC-RS (ours),20%,0.9034418826353346
565,65,ABC-RS (ours),20%,1.1135020546972136
566,66,ABC-RS (ours),20%,0.3399069663728928
567,67,ABC-RS (ours),20%,0.1736344796077217
568,68,ABC-RS (ours),20%,0.470220176244846
569,69,ABC-RS (ours),20%,0.4871007386859005
570,70,ABC-RS (ours),20%,0.1388328015651121
571,71,ABC-RS (ours),20%,0.2072600562765045
572,72,ABC-RS (ours),20%,0.1493158946074158
573,73,ABC-RS (ours),20%,0.7385874812170069
574,74,ABC-RS (ours),20%,0.0779455446322728
575,75,ABC-RS (ours),20%,0.6859650311537496
576,76,ABC-RS (ours),20%,0.4486318430788998
577,77,ABC-RS (ours),20%,0.6691802363379622
578,78,ABC-RS (ours),20%,0.1364117837522416
579,79,ABC-RS (ours),20%,0.094220319784229
580,80,ABC-RS (ours),20%,1.316508164788803
581,81,ABC-RS (ours),20%,0.9397751434520576
582,82,ABC-RS (ours),20%,0.6969198910639057
583,83,ABC-RS (ours),20%,1.183346719422001
584,84,ABC-RS (ours),20%,0.6301281483062823
585,85,ABC-RS (ours),20%,1.1429111126694882
586,86,ABC-RS (ours),20%,0.1683252396549868
587,87,ABC-RS (ours),20%,0.5825713322703784
588,88,ABC-RS (ours),20%,1.1456338194111986
589,89,ABC-RS (ours),20%,0.910831241603852
590,90,ABC-RS (ours),20%,0.082630098971812
591,91,ABC-RS (ours),20%,0.1436651388802019
592,92,ABC-RS (ours),20%,0.1626966631301631
593,93,ABC-RS (ours),20%,0.1696229050163464
594,94,ABC-RS (ours),20%,0.4141101203155163
595,95,ABC-RS (ours),20%,0.3214769501164073
596,96,ABC-RS (ours),20%,0.6481339269777336
597,97,ABC-RS (ours),20%,0.0754600294206878
598,98,ABC-RS (ours),20%,0.6236783513909695
599,99,ABC-RS (ours),20%,0.1134016391852602
