,Unnamed: 0,Method,$\epsilon$,RMSE
237,37,ABC,$\epsilon$=10%,0.7450838671999197
238,38,ABC,$\epsilon$=10%,0.6779669392974853
239,39,ABC,$\epsilon$=10%,0.971330342858436
240,40,ABC,$\epsilon$=10%,1.7584081717954214
241,41,ABC,$\epsilon$=10%,1.1614437346102606
242,42,ABC,$\epsilon$=10%,1.3921281757562194
243,43,ABC,$\epsilon$=10%,1.50781928900751
244,44,ABC,$\epsilon$=10%,1.0598638810932652
245,45,ABC,$\epsilon$=10%,1.590874654818505
246,46,ABC,$\epsilon$=10%,0.8360288459174956
247,47,ABC,$\epsilon$=10%,1.3498318713627695
248,48,ABC,$\epsilon$=10%,1.6920433087149722
249,49,ABC,$\epsilon$=10%,1.3765870050333402
250,50,ABC,$\epsilon$=10%,0.7430242834148135
251,51,ABC,$\epsilon$=10%,1.6474655109020593
252,52,ABC,$\epsilon$=10%,1.5425946575175389
253,53,ABC,$\epsilon$=10%,1.0490946902461726
254,54,ABC,$\epsilon$=10%,1.261555510686706
255,55,ABC,$\epsilon$=10%,1.737413716272567
256,56,ABC,$\epsilon$=10%,1.4186748009747083
257,57,ABC,$\epsilon$=10%,1.0732182003867652
258,58,ABC,$\epsilon$=10%,1.7477448333404104
259,59,ABC,$\epsilon$=10%,0.7437312730545734
260,60,ABC,$\epsilon$=10%,0.7095829676686222
261,61,ABC,$\epsilon$=10%,0.8470992150229865
262,62,ABC,$\epsilon$=10%,1.1438122643356106
263,63,ABC,$\epsilon$=10%,0.908004826605736
264,64,ABC,$\epsilon$=10%,1.3916825917522413
265,65,ABC,$\epsilon$=10%,1.7478921628987936
266,66,ABC,$\epsilon$=10%,1.9165264874012808
267,67,ABC,$\epsilon$=10%,1.940919000307941
268,68,ABC,$\epsilon$=10%,1.3175413566035616
269,69,ABC,$\epsilon$=10%,0.812816134914048
270,70,ABC,$\epsilon$=10%,1.4531379679510483
271,71,ABC,$\epsilon$=10%,1.668040107685769
272,72,ABC,$\epsilon$=10%,0.9270875812656356
273,73,ABC,$\epsilon$=10%,0.8585651945319613
274,74,ABC,$\epsilon$=10%,1.0775021060803165
275,75,ABC,$\epsilon$=10%,1.696804582696734
