,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Method,$\epsilon$,MMD
490,490,490,490,90,RNPE,10%,0.0470719665308095
491,491,491,491,91,RNPE,10%,0.2714151537899514
492,492,492,492,92,RNPE,10%,0.2283076643835785
493,493,493,493,93,RNPE,10%,0.0604754655500628
494,494,494,494,94,RNPE,10%,0.1072765723526031
495,495,495,495,95,RNPE,10%,0.0773333729600305
496,496,496,496,96,RNPE,10%,0.2839406927627865
497,497,497,497,97,RNPE,10%,0.1771865258045185
498,498,498,498,98,RNPE,10%,0.0846596000706876
499,499,499,499,99,RNPE,10%,0.0845669723044386
500,500,500,500,0,NPE-RS (ours),10%,0.0574625128466518
501,501,501,501,1,NPE-RS (ours),10%,0.0317570494423848
502,502,502,502,2,NPE-RS (ours),10%,0.0475382451202105
